Planting number,Planting Name,Date,DOY,L1,L2,L3,L4,L5,L6,L7,L8,,,,,,,,,,,,,,,,,,
9,NPI_F_R2_2018,2018-08-15,226,0.338362935,0.298543466,0.321370378,0.345728807,0.371837543,0.372809936,0.344291824,0.344291824,,,,,,,,,,,,,,,,,,
9,NPI_F_R2_2018,2018-08-21,232,0.332447443,0.289516116,0.308559019,0.333610368,0.366947561,0.374482348,0.356153829,0.356153829,,,,,,,,,,,,,,,,,,
9,NPI_F_R2_2018,2018-08-24,235,0.265583394,0.240287325,0.212893634,0.203423184,0.227286225,0.267369488,0.240943793,0.240943793,,,,,,,,,,,,,,,,,,
9,NPI_F_R2_2018,2018-08-28,239,0.333670067,0.285633196,0.293205026,0.324475701,0.363170704,0.350903356,0.292427462,0.292427462,,,,,,,,,,,,,,,,,,
9,NPI_F_R2_2018,2018-09-04,247,0.26464643,0.218663719,0.223840047,0.252440769,0.286600506,0.299954224,0.285539092,0.285539092,,,,,,,,,,,,,,,,,,
9,NPI_F_R2_2018,2018-09-07,250,0.261297065,0.243322511,0.204329655,0.197748582,0.216833693,0.239702921,0.217893752,0.217893752,,,,,,,,,,,,,,,,,,
9,NPI_F_R2_2018,2018-09-10,253,0.268461592,0.223709948,0.225214546,0.255774165,0.287248743,0.294710739,0.263247039,0.263247039,,,,,,,,,,,,,,,,,,
9,NPI_F_R2_2018,2018-09-24,267,0.26062765,0.221306534,0.231282335,0.262434133,0.319117558,0.332826758,0.307200699,0.307200699,,,,,,,,,,,,,,,,,,
9,NPI_F_R2_2018,2018-10-01,274,0.257872411,0.218738466,0.230982953,0.266727979,0.320385862,0.323532715,0.296512869,0.296512869,,,,,,,,,,,,,,,,,,
9,NPI_F_R2_2018,2018-11-16,320,0.261299924,0.246906326,0.229418403,0.237982694,0.278149018,0.30112687,0.279365218,0.279365218,,,,,,,,,,,,,,,,,,
10,NPI_Vs_2018,2018-07-06,186,0.297898981,0.236777761,0.22667629,0.230059133,0.244380007,0.252928612,0.183415642,0.183415642,,,,,,,,,,,,,,,,,,
10,NPI_Vs_2018,2018-07-18,197,0.29600388,0.238258761,0.226935778,0.230870567,0.245123712,0.255881592,0.207010677,0.207010677,,,,,,,,,,,,,,,,,,
10,NPI_Vs_2018,2018-07-23,204,0.289895934,0.232887023,0.221918078,0.266197092,0.237276643,0.250552691,0.183850887,0.183850887,,,,,,,,,,,,,,,,,,
10,NPI_Vs_2018,2018-08-25,236,0.29644543,0.238724493,0.224804386,0.227166806,0.237177237,0.248475318,0.185287065,0.185287065,,,,,,,,,,,,,,,,,,
10,NPI_Vs_2018,2018-09-07,250,0.291302643,0.233384063,0.218237313,0.219625508,0.231836482,0.24578013,0.191306329,0.191306329,,,,,,,,,,,,,,,,,,
